FECHA;venta
ene-13;19771,24407
feb-13;26125,53314
mar-13;23745,01579
abr-13;23259,28734
may-13;23989,89
jun-13;21057,53653
jul-13;21561,74115
ago-13;22416,34317
sep-13;27685,37004
oct-13;23548,8858
nov-13;22769,27519
dic-13;48118,55099
ene-14;44398,08018
feb-14;57354,50136
mar-14;50746,8706
abr-14;47816,9617
may-14;45278,86742
jun-14;39581,50812
jul-14;45666,60792
ago-14;46128,3056
sep-14;53148,55098
oct-14;46851,78916
nov-14;48164,8389
dic-14;76720,01723
ene-15;70408,71221
feb-15;79780,4434
mar-15;69502,2757
abr-15;64194,44843
may-15;62186,75264
jun-15;57343,83069
jul-15;68952,6851
ago-15;73078,44148
sep-15;81529,14938
oct-15;72410,67614
nov-15;74103,63635
dic-15;102629,8801
ene-16;98004,90757
feb-16;97422,19702
mar-16;88200,73729
abr-16;84676,51948
may-16;86232,21123
jun-16;77365,68796
jul-16;92967,63756
ago-16;101966,3439
sep-16;106923,4316
oct-16;92795,07704
nov-16;94252,84408
dic-16;126774,3684
ene-17;120780,4377
feb-17;123392,9742
mar-17;115417,8268
abr-17;108745,3935
may-17;110848,985
jun-17;93665,00176
jul-17;115927,7436
ago-17;132132,1518
sep-17;135068,2975
oct-17;120212,003
nov-17;118975,3334
dic-17;147852,086
ene-18;136933,0354
feb-18;147021,602
mar-18;137451,7213
abr-18;135353,6501
may-18;133697,2147
jun-18;115292,8942
jul-18;141673,3271
ago-18;165677,8323
sep-18;167215,2415
oct-18;152290,4982
nov-18;150258,4525
dic-18;172142,1513
ene-19;154660,8549
feb-19;173283,7285
mar-19;162068,9467
abr-19;159852,0579
may-19;155645,667
jun-19;142256,8053
jul-19;168326,6794
ago-19;194446,906
